Price,Area,Baths,Beds,Latitude,Longitude,Month,Year,country,suburb,road,municipality,state,postcode,Price/meter,Coeficient,Average
546250.0,83.05531776000002,1,2,38.90805553,-77.04738265,6,2005,United States,Dupont Circle,Newport Place Northwest,Not found,District of Columbia,20036,6576.941907301661,0.6780842068448947,9699.299645841882
721050.0,83.05531776000002,1,3,38.90804758,-77.04743119,12,2016,United States,Dupont Circle,Newport Place Northwest,Not found,District of Columbia,20036,8681.56331763819,0.8950711530352609,9699.299645841882
305026.0,89.18691840000002,1,3,38.90775942,-77.04806788,1,2000,United States,Dupont Circle,Newport Place Northwest,Not found,District of Columbia,20036,3420.0755612159364,0.3526105684014137,9699.299645841882
698326.0,78.0385536,2,2,38.90775953,-77.04801577,10,2007,United States,Dupont Circle,Newport Place Northwest,Not found,District of Columbia,20036,8948.474411499088,0.9225897475324752,9699.299645841882
815005.0,78.0385536,1,2,38.90775937,-77.047967,6,2018,United States,Dupont Circle,Newport Place Northwest,Not found,District of Columbia,20036,10443.62001091727,1.0767395989662492,9699.299645841882
686090.0,78.0385536,2,2,38.90775948,-77.04791754,7,2016,United States,Dupont Circle,Newport Place Northwest,Not found,District of Columbia,20036,8791.680116429015,0.9064242200412929,9699.299645841882
546250.0,78.0385536,1,2,38.90775808,-77.0478208,8,2004,United States,Dupont Circle,Newport Place Northwest,Not found,District of Columbia,20036,6999.745315628197,0.7216753344277809,9699.299645841882
576840.0,78.0385536,1,2,38.90776107,-77.04777031,9,2010,United States,Dupont Circle,Newport Place Northwest,Not found,District of Columbia,20036,7391.731053303376,0.7620891531557367,9699.299645841882
677350.0,74.97275328,2,4,38.90775143,-77.04821441,4,2004,United States,Dupont Circle,Newport Place Northwest,Not found,District of Columbia,20036,9034.61551519,0.9314709149194258,9699.299645841882
642390.0,74.87985024000002,2,3,38.90775145,-77.04816876,1,2011,United States,Dupont Circle,Newport Place Northwest,Not found,District of Columbia,20036,8578.943439938159,0.8844910202991797,9699.299645841882
856520.0,105.72365952,2,3,38.90803004,-77.04759190000001,4,2004,United States,Dupont Circle,Newport Place Northwest,Not found,District of Columbia,20036,8101.49784720581,0.8352662710733909,9699.299645841882
297072.6,105.72365952,2,3,38.90803056,-77.04765312,1,1998,United States,Dupont Circle,Newport Place Northwest,Not found,District of Columbia,20036,2809.897059454341,0.28970102605902603,9699.299645841882
550620.0,102.193344,3,3,38.90803026,-77.0477148,8,2010,United States,Dupont Circle,Newport Place Northwest,Not found,District of Columbia,20036,5388.022139680643,0.5555063083333551,9699.299645841882
891480.0,110.64752064,2,3,38.90777489,-77.04746698,1,2018,United States,Dupont Circle,Newport Place Northwest,Not found,District of Columbia,20036,8056.936069091842,0.8306719416123899,9699.299645841882
934306.0,140.46939648,4,5,38.91612497,-77.04083564,11,2008,United States,Dupont Circle,Willard Street Northwest,Not found,District of Columbia,20009,6651.313548805816,0.6857519400029314,9699.299645841882
353970.0,157.935168,3,4,38.91579288,-77.04069223,4,1998,United States,Dupont Circle,T Street Northwest,Not found,District of Columbia,20009,2241.236100119259,0.23107195178572335,9699.299645841882
227240.0,157.935168,4,4,38.9157938,-77.0411688,6,1998,United States,Dupont Circle,T Street Northwest,Not found,District of Columbia,20009,1438.8182371135983,0.14834248756614338,9699.299645841882
485354.05,163.04483520000005,3,3,38.91429389,-77.04070302,9,1995,United States,Dupont Circle,S Street Northwest,Not found,District of Columbia,20009,2976.8133986252133,0.3069101385996856,9699.299645841882
589950.0,163.04483520000005,3,4,38.91429549,-77.04077498,3,1999,United States,Dupont Circle,S Street Northwest,Not found,District of Columbia,20009,3618.329886232421,0.37305063441189895,9699.299645841882
1026950.0,163.04483520000005,2,3,38.91432696,-77.04095406,3,2014,United States,Dupont Circle,S Street Northwest,Not found,District of Columbia,20009,6298.574246404584,0.6493844376799722,9699.299645841882
834670.0,163.04483520000005,2,3,38.9143361,-77.04108136,8,2004,United States,Dupont Circle,S Street Northwest,Not found,District of Columbia,20009,5119.266727928833,0.52779756424202,9699.299645841882
773490.0,163.04483520000005,2,3,38.91432454,-77.04115008,11,2007,United States,Dupont Circle,S Street Northwest,Not found,District of Columbia,20009,4744.032517504729,0.48911083178448966,9699.299645841882
786600.0,163.04483520000005,2,3,38.9143284,-77.04120877,11,2007,United States,Dupont Circle,S Street Northwest,Not found,District of Columbia,20009,4824.439848309895,0.497400845882532,9699.299645841882
909834.0,130.064256,2,3,38.91470058,-77.04056639,11,2017,United States,Dupont Circle,Swann Street Northwest,Not found,District of Columbia,20009,6995.2654786261955,0.7212134622137472,9699.299645841882
884925.0,136.84617792,2,3,38.9105013,-77.03512627,8,2013,United States,Dupont Circle,Church Street Northwest,Not found,District of Columbia,20005,6466.567159203565,0.6667045452066017,9699.299645841882
