Unnamed: 0,Price,Area,Baths,Beds,Latitude,Longitude,Month,Year,country,suburb,road,municipality,state,postcode
22807,20250.0,65.0,1.0,3.0,3.406,-76.539,3,2019,Colombia,Comuna 17,Calle 11,Not found,Valle del Cauca,760033.0
22810,48375.0,72.0,2.0,2.0,3.357,-76.521,3,2019,Colombia,Not found,Carrera 111,Not found,Valle del Cauca,720001.0
22816,22500.0,41.0,1.0,1.0,10.402,-75.521,3,2019,Colombia,Not found,Transversal 44,Not found,Bolívar,130004.0
22818,135000.0,277.0,5.0,4.0,3.407,-76.553,3,2019,Colombia,Comuna 19,Calle 2A,Not found,Valle del Cauca,760040.0
22820,63000.0,240.0,1.0,5.0,3.45,-76.485,3,2019,Colombia,Comuna 7,Carrera 9,Not found,Valle del Cauca,760003.0
22822,31500.0,37.0,1.0,1.0,4.446000000000001,-75.242,3,2019,Colombia,Comuna 1 - Centro,Carrera 5,Not found,Tolima,730001.0
22824,247500.0,123.0,2.0,2.0,11.174,-74.232,3,2019,Colombia,Not found,Calle 74A,Not found,Magdalena,470006.0
22825,49275.0,66.0,2.0,3.0,3.361,-76.517,3,2019,Colombia,Not found,Carrera 107,Not found,Valle del Cauca,720001.0
22826,29250.0,120.0,2.0,3.0,3.432,-76.47,3,2019,Colombia,Comuna 21,Calle 88,Not found,Valle del Cauca,760021.0
22827,168750.0,250.0,3.0,4.0,10.457,-75.506,3,2019,Colombia,Not found,Carrera 16,Not found,Bolívar,130002.0
22828,110250.0,209.0,3.0,2.0,7.865,-72.497,3,2019,Colombia,Not found,Not found,Not found,Norte de Santander,540006.0
22830,41625.0,63.0,2.0,2.0,3.363,-76.518,3,2019,Colombia,Not found,calle 44,Not found,Valle del Cauca,720001.0
22835,15727.5,46.0,1.0,2.0,4.609,-74.21300000000001,3,2019,Colombia,La Despensa,Carrera 34A,Not found,Not found,250051.0
22837,31500.0,95.0,1.0,2.0,7.926,-72.521,3,2019,Colombia,Not found,Calle 21,Not found,Norte de Santander,540013.0
22841,30375.0,64.0,2.0,3.0,5.011,-73.98899999999999,3,2019,Colombia,Not found,Calle 4,Not found,Not found,250252.0
22845,92250.0,154.0,4.0,4.0,3.394,-76.53,3,2019,Colombia,Comuna 17,Calle 15,Not found,Valle del Cauca,760033.0
22847,83250.0,200.0,3.0,3.0,3.472,-76.52600000000001,3,2019,Colombia,Comuna 2,Avenida 2B Norte,Not found,Valle del Cauca,760046.0
22850,292500.0,159.0,3.0,3.0,11.165,-74.221,3,2019,Colombia,Not found,Not found,Not found,Magdalena,470006.0
22851,50625.0,68.0,2.0,3.0,4.707,-74.238,3,2019,Colombia,Not found,Not found,Not found,Not found,250047.0
22855,65250.0,71.0,2.0,3.0,4.727,-74.12,3,2019,Colombia,Localidad Engativá,Carrera 116A,Not found,Not found,111011.0
22856,108000.0,85.0,3.0,2.0,4.718,-74.043,3,2019,Colombia,Localidad Usaquén,Carrera 16,Not found,Not found,110121.0
22857,236700.0,189.0,4.0,3.0,4.689,-74.055,3,2019,Colombia,Localidad Usaquén,Carrera 22,Not found,Not found,110211.0
22858,292500.0,299.0,5.0,4.0,4.652,-74.13600000000001,3,2019,Colombia,Localidad Kennedy,Carrera 80A,Not found,Not found,110821.0
22861,157500.0,156.0,3.0,3.0,4.724,-74.03,3,2019,Colombia,Localidad Usaquén,Carrera 7F,Not found,Not found,110121.0
