Price,Area,Baths,Beds,Latitude,Longitude,Month,Year,Country,Province
201020.0,111.0,4.0,2.0,-12.0969589,-77.0582002,03,2020,Perú,Lima
69920.0,60.0,1.0,2.0,-12.1384209205,-77.001018199,03,2020,Perú,Lima
187922.0,165.0,2.0,2.0,-12.115578,-77.003309,03,2020,Perú,Lima
117990.0,90.0,2.0,3.0,-11.9535383251,-76.9844412804,03,2020,Perú,Lima
977922.096,231.0,3.0,3.0,-12.1029284,-77.0515297,03,2020,Perú,Lima
71782.494,78.0,2.0,3.0,-12.084433,-77.0990004,03,2020,Perú,Lima
106628.0,82.0,2.0,3.0,-12.1360907224,-77.016115109,03,2020,Perú,Lima
1179900.0,963.0,3.0,8.0,-16.3961721,-71.5327682,03,2020,Perú,Arequipa
113620.0,60.0,1.0,1.0,-12.1245465,-77.0282812,03,2020,Perú,Lima
52440.0,63.0,1.0,1.0,-12.0620871,-77.0749765,03,2020,Perú,Lima
42826.0,60.0,1.0,2.0,-14.0428920041,-75.7658968552,03,2020,Perú,Ica
42826.0,60.0,1.0,2.0,-14.0428920041,-75.7658888086,03,2020,Perú,Ica
131100.0,158.0,1.0,2.0,-5.1884675,-80.6436228,03,2020,Perú,Piura
60760.0,415.0,1.0,2.0,-10.9595161117,-75.2284370665,03,2020,Perú,Junín
72542.0,78.0,1.0,2.0,-12.0207452,-77.0078952,03,2020,Perú,Lima
75164.0,85.0,1.0,2.0,-12.0207452,-77.0078952,03,2020,Perú,Lima
75164.0,83.0,1.0,2.0,-12.0207452,-77.0078952,03,2020,Perú,Lima
89148.0,68.0,1.0,2.0,-12.0815838751,-77.1019342597,03,2020,Perú,Lima
157320.0,150.0,1.0,3.0,-11.9359901,-77.0601935,03,2020,Perú,Lima
144210.0,73.0,2.0,2.0,-12.1306013234,-77.0200391455,03,2020,Perú,Lima
91770.0,120.0,2.0,2.0,-12.0620871,-77.0749765,03,2020,Perú,Lima
118690.948,56.0,2.0,2.0,-12.0983360865,-77.0702807926,03,2020,Perú,Lima
70486.352,55.0,2.0,2.0,-12.0820174,-77.0980028,03,2020,Perú,Lima
144210.0,73.0,2.0,2.0,-12.1320488392,-77.0208974524,03,2020,Perú,Lima
66424.0,75.0,2.0,3.0,-11.9001670136,-77.0301803552,03,2020,Perú,Lima
69920.0,90.0,2.0,3.0,-12.2546094,-76.8817575,03,2020,Perú,Lima
104880.0,73.0,2.0,3.0,-12.0690905,-77.0485753,03,2020,Perú,Lima
138092.0,80.0,2.0,3.0,-12.1813918618,-77.0050791272,03,2020,Perú,Lima
59432.0,80.0,2.0,3.0,-12.0649245,-77.0292124,03,2020,Perú,Lima
76038.0,70.0,2.0,3.0,-12.0831523,-77.0945352,03,2020,Perú,Lima
117990.0,74.0,2.0,3.0,-12.0880044115,-76.9727161582,03,2020,Perú,Lima
122360.0,78.0,2.0,3.0,-12.118667375,-77.0001976436,03,2020,Perú,Lima
80408.0,64.0,2.0,3.0,-12.0819714,-76.9818098,03,2020,Perú,Lima
39060.0,60.0,2.0,3.0,-12.023883,-76.8883099,03,2020,Perú,Lima
68897.5,76.0,2.0,3.0,-12.1361186,-76.9755672,03,2020,Perú,Lima
61180.0,80.0,2.0,3.0,-12.0686357,-75.2102976,03,2020,Perú,Junín
68172.0,83.0,2.0,3.0,-8.1021992,-79.0285301,03,2020,Perú,La-Libertad
189658.0,100.0,3.0,2.0,-12.1206544,-77.0294397,03,2020,Perú,Lima
270940.0,170.0,3.0,2.0,-12.0919118403,-77.0157059548,03,2020,Perú,Lima
106981.0,88.0,3.0,2.0,-12.1022911,-77.0071239,03,2020,Perú,Lima
664240.0,306.0,3.0,3.0,-12.1213842,-77.0078323,03,2020,Perú,Lima
699200.0,2711.0,3.0,3.0,-12.0995861659,-76.7864635642,03,2020,Perú,Lima
135470.0,1024.0,3.0,3.0,-12.118512,-76.8139827,03,2020,Perú,Lima
157320.0,73.0,3.0,3.0,-9.281744,-77.6450215,03,2020,Perú,Ancash
209760.0,99.0,3.0,3.0,-16.3833313847,-71.5495365671,03,2020,Perú,Arequipa
164312.0,145.0,3.0,3.0,-12.109674,-76.9776786,03,2020,Perú,Lima
262200.0,120.0,3.0,4.0,-12.071853,-77.0749448,03,2020,Perú,Lima
165186.0,120.0,3.0,4.0,-12.3849381,-76.7704642,03,2020,Perú,Lima
175674.0,88.0,3.0,4.0,-12.3849381,-76.7704642,03,2020,Perú,Lima
342608.0,173.0,3.0,4.0,-12.0834004,-77.0519956,03,2020,Perú,Lima
