Price,Area,Baths,Beds,Latitude,Longitude,Month,Year,Country,Province,City,Rooms,TotalArea,PropertyType,OperationType
157320.0,149.0,3.0,4.0,-16.4056565,-71.543463,2,2020,Perú,Arequipa,Arequipa,0.0,149.0,Departamento,Venta
244720.0,205.0,3.0,4.0,-6.7701547,-79.8592547,2,2020,Perú,Lambayeque,Chiclayo,0.0,260.0,Local-comercial,Venta
445740.0,218.0,3.0,5.0,-12.1262286,-77.0197202,2,2020,Perú,Lima,Lima,0.0,218.0,Oficina,Venta
74290.0,90.0,3.0,6.0,-12.0384134,-76.9570091,2,2020,Perú,Lima,Lima,0.0,90.0,Casa,Venta
316757.07,252.0,4.0,3.0,-12.1306448923,-77.0220520841,2,2020,Perú,Lima,Lima,0.0,252.0,Departamento,Venta
148580.0,140.0,4.0,3.0,-16.4056565,-71.543463,2,2020,Perú,Arequipa,Arequipa,0.0,140.0,Departamento,Venta
155572.0,148.0,4.0,3.0,-16.4056565,-71.543463,2,2020,Perú,Arequipa,Arequipa,0.0,148.0,Departamento,Venta
157320.0,150.0,4.0,3.0,-16.4056565,-71.543463,2,2020,Perú,Arequipa,Arequipa,0.0,150.0,Departamento,Venta
157320.0,146.0,4.0,3.0,-16.4056565,-71.543463,2,2020,Perú,Arequipa,Arequipa,0.0,146.0,Departamento,Venta
305900.0,137.0,4.0,4.0,-16.3887711,-71.5482853,2,2020,Perú,Arequipa,Arequipa,0.0,177.0,Casa,Venta
183540.0,164.0,4.0,6.0,-12.1652877,-76.9701569,2,2020,Perú,Lima,Lima,0.0,300.0,Casa,Venta
392665.476,239.0,5.0,3.0,-12.1334146,-77.022315,2,2020,Perú,Lima,Lima,0.0,239.0,Departamento,Venta
216752.0,200.0,5.0,4.0,-12.9705556,-76.5052778,2,2020,Perú,Lima,Cañete,0.0,300.0,Lote,Venta
349600.0,354.0,5.0,4.0,-16.3855310268,-71.5459106619,2,2020,Perú,Arequipa,Arequipa,0.0,354.0,Departamento,Venta
314640.0,200.0,5.0,5.0,-12.706255138,-76.6402838571,2,2020,Perú,Lima,Cañete,0.0,320.0,Lote,Venta
218500.0,160.0,5.0,6.0,-12.1642902,-76.9650948,2,2020,Perú,Lima,Lima,0.0,386.0,Casa,Venta
138966.0,101.0,5.0,8.0,-16.385735226,-71.55461584,2,2020,Perú,Arequipa,Arequipa,0.0,235.0,Casa,Venta
345230.0,392.0,5.0,8.0,-16.4056565,-71.543463,2,2020,Perú,Arequipa,Arequipa,0.0,392.0,Departamento,Venta
187910.0,140.0,6.0,5.0,-6.7974369806,-79.8929884567,2,2020,Perú,Lambayeque,Chiclayo,0.0,245.0,Casa,Venta
152950.0,83.0,3.0,2.0,-12.0899171,-77.0403209,1,2020,Perú,Lima,Lima,0.0,83.0,Departamento,Venta
175761.4,60.0,2.0,2.0,-12.1373839,-77.0223168,1,2020,Perú,Lima,Lima,0.0,60.0,Departamento,Venta
48070.0,67.0,1.0,2.0,-11.9724677,-77.0830663,1,2020,Perú,Lima,Lima,0.0,67.0,Departamento,Venta
34960.0,64.0,1.0,2.0,-12.0631975,-77.018732,1,2020,Perú,Lima,Lima,0.0,64.0,Departamento,Venta
113620.0,84.0,2.0,2.0,-12.0836043,-77.0103177,1,2020,Perú,Lima,Lima,0.0,84.0,Departamento,Venta
61180.0,85.0,2.0,2.0,-12.0609849879,-77.0703310103,1,2020,Perú,Lima,Lima,0.0,85.0,Departamento,Venta
77786.0,106.0,1.0,3.0,-12.0399530635,-76.9256889456,1,2020,Perú,Lima,Lima,0.0,106.0,Departamento,Venta
145695.8,160.0,1.0,3.0,-12.0414577,-76.9267928,1,2020,Perú,Lima,Lima,0.0,160.0,Casa,Venta
65100.0,83.0,2.0,3.0,-11.9334397094,-77.0646271307,1,2020,Perú,Lima,Lima,0.0,83.0,Departamento,Venta
594320.0,319.0,4.0,3.0,-12.0756385,-76.9110056,1,2020,Perú,Lima,Lima,0.0,330.0,Casa,Venta
