start: 
Current Time = 04:38:46
------------------------------------------------------------------
Dataset: perth.csv
Normalization used is StandardScaler, using kfold=5
Dataset total size after normalization: (26510, 9)
Device used : cuda
epoch 82 | loss: 129619477898.60757| val_0_rmse: 361498.92523| val_0_mse: 130681472944.13312| val_0_mae: 334102.19072| val_1_rmse: 359837.10778| val_1_mse: 129482744133.85751| val_1_mae: 332203.69767|  0:03:24s
epoch 83 | loss: 129358773916.62384| val_0_rmse: 362342.81339| val_0_mse: 131292314415.8874| val_0_mae: 334889.46461| val_1_rmse: 360738.9821| val_1_mse: 130132613209.19331| val_1_mae: 333021.48861|  0:03:26s
epoch 84 | loss: 129104851119.27383| val_0_rmse: 355276.19665| val_0_mse: 126221175906.65417| val_0_mae: 328364.32409| val_1_rmse: 353722.30064| val_1_mse: 125119465968.4288| val_1_mae: 326507.81438|  0:03:28s
epoch 85 | loss: 128822743044.34563| val_0_rmse: 358489.85238| val_0_mse: 128514974256.24599| val_0_mae: 331867.86548| val_1_rmse: 356943.97395| val_1_mse: 127409000540.51924| val_1_mae: 330052.6379|  0:03:31s
epoch 86 | loss: 128538370507.67134| val_0_rmse: 359390.40462| val_0_mse: 129161462935.19633| val_0_mae: 332400.46443| val_1_rmse: 357714.26197| val_1_mse: 127959493214.45506| val_1_mae: 330470.00621|  0:03:33s
epoch 87 | loss: 128232784678.35625| val_0_rmse: 359286.04773| val_0_mse: 129086464092.05908| val_0_mae: 332240.44961| val_1_rmse: 357738.38071| val_1_mse: 127976749034.07158| val_1_mae: 330357.54191|  0:03:35s
epoch 88 | loss: 127835330447.73782| val_0_rmse: 358086.0376| val_0_mse: 128225610324.14742| val_0_mae: 330644.34616| val_1_rmse: 356524.42438| val_1_mse: 127109665181.83115| val_1_mae: 328785.53829|  0:03:37s
epoch 89 | loss: 127517188746.87917| val_0_rmse: 359654.04801| val_0_mse: 129351034248.17735| val_0_mae: 332911.844| val_1_rmse: 358156.32639| val_1_mse: 128275954133.42899| val_1_mae: 331107.66801|  0:03:39s
epoch 90 | loss: 127214323747.97218| val_0_rmse: 356021.01006| val_0_mse: 126750959600.70847| val_0_mae: 329261.02191| val_1_rmse: 354678.15279| val_1_mse: 125796592069.61946| val_1_mae: 327539.66988|  0:03:42s
epoch 91 | loss: 126930790489.08546| val_0_rmse: 351908.0439| val_0_mse: 123839271358.32169| val_0_mae: 325366.18396| val_1_rmse: 350330.39513| val_1_mse: 122731385753.45435| val_1_mae: 323469.02473|  0:03:44s
epoch 92 | loss: 126545594572.969| val_0_rmse: 360268.36077| val_0_mse: 129793291775.49593| val_0_mae: 333233.18078| val_1_rmse: 358623.74891| val_1_mse: 128610993281.84393| val_1_mae: 331293.75719|  0:03:46s
epoch 93 | loss: 126156911136.16975| val_0_rmse: 350606.56241| val_0_mse: 122924961602.06857| val_0_mae: 323931.01607| val_1_rmse: 349042.29627| val_1_mse: 121830524582.5235| val_1_mae: 322033.25624|  0:03:48s
epoch 94 | loss: 125758963105.54285| val_0_rmse: 348423.11855| val_0_mse: 121398669543.47523| val_0_mae: 321985.79792| val_1_rmse: 347027.37331| val_1_mse: 120427997825.62875| val_1_mae: 320234.47966|  0:03:51s
epoch 95 | loss: 125356902759.48038| val_0_rmse: 354147.84843| val_0_mse: 125420698550.2459| val_0_mae: 327432.53832| val_1_rmse: 352591.77892| val_1_mse: 124320962559.20679| val_1_mae: 325588.03676|  0:03:53s
epoch 96 | loss: 125019952647.6652| val_0_rmse: 355678.50395| val_0_mse: 126507198170.2387| val_0_mae: 328802.40156| val_1_rmse: 354061.21631| val_1_mse: 125359344898.04433| val_1_mae: 326914.42888|  0:03:55s
epoch 97 | loss: 124623999941.21326| val_0_rmse: 356080.39523| val_0_mse: 126793247869.98943| val_0_mae: 329331.88796| val_1_rmse: 354593.01796| val_1_mse: 125736208389.01768| val_1_mae: 327500.18819|  0:03:57s
epoch 98 | loss: 124244694060.54274| val_0_rmse: 354266.11879| val_0_mse: 125504482919.5733| val_0_mae: 328192.00108| val_1_rmse: 352998.42637| val_1_mse: 124607889020.81229| val_1_mae: 326503.03974|  0:03:59s
epoch 99 | loss: 123844503758.9004| val_0_rmse: 349587.76338| val_0_mse: 122211604301.80812| val_0_mae: 322967.71424| val_1_rmse: 348227.65449| val_1_mse: 121262499353.63483| val_1_mae: 321245.90032|  0:04:02s
epoch 100| loss: 123444863173.9677| val_0_rmse: 353528.93971| val_0_mse: 124982711209.02034| val_0_mae: 327112.59413| val_1_rmse: 352122.23745| val_1_mse: 123990070105.2584| val_1_mae: 325335.64515|  0:04:04s
epoch 101| loss: 123040826941.26135| val_0_rmse: 346959.71637| val_0_mse: 120381044782.10298| val_0_mae: 320785.32575| val_1_rmse: 345513.74884| val_1_mse: 119379750638.52515| val_1_mae: 319000.96813|  0:04:06s
epoch 102| loss: 122594695599.42471| val_0_rmse: 351653.27944| val_0_mse: 123660028939.06618| val_0_mae: 325441.44874| val_1_rmse: 350306.09477| val_1_mse: 122714360031.02852| val_1_mae: 323736.08514|  0:04:08s
epoch 103| loss: 122149038509.0105| val_0_rmse: 343428.65925| val_0_mse: 117943243992.5945| val_0_mae: 317885.28769| val_1_rmse: 341993.30607| val_1_mse: 116959421399.5513| val_1_mae: 316084.94721|  0:04:11s
epoch 104| loss: 121732920242.86502| val_0_rmse: 351149.42459| val_0_mse: 123305918389.7317| val_0_mae: 324766.08515| val_1_rmse: 349560.49024| val_1_mse: 122192536334.90791| val_1_mae: 322874.49878|  0:04:13s
epoch 105| loss: 121381590826.33974| val_0_rmse: 345980.57322| val_0_mse: 119702557042.59724| val_0_mae: 320219.49561| val_1_rmse: 344592.46097| val_1_mse: 118743964157.12839| val_1_mae: 318461.09694|  0:04:15s
epoch 106| loss: 120982114036.98505| val_0_rmse: 348762.05352| val_0_mse: 121634969975.11568| val_0_mae: 322482.80643| val_1_rmse: 347166.3388| val_1_mse: 120524466796.87427| val_1_mae: 320594.30356|  0:04:17s
epoch 107| loss: 120567193970.8273| val_0_rmse: 344599.1882| val_0_mse: 118748600510.59276| val_0_mae: 318823.8537| val_1_rmse: 343205.84751| val_1_mse: 117790253765.54762| val_1_mae: 317093.18831|  0:04:19s
epoch 108| loss: 120146297438.45715| val_0_rmse: 350665.14347| val_0_mse: 122966042842.38113| val_0_mae: 324361.87822| val_1_rmse: 349242.18482| val_1_mse: 121970103659.61629| val_1_mae: 322561.59144|  0:04:22s
epoch 109| loss: 119723159347.75528| val_0_rmse: 342919.17857| val_0_mse: 117593563033.62006| val_0_mae: 318172.03582| val_1_rmse: 341498.94209| val_1_mse: 116621527448.28207| val_1_mae: 316397.29855|  0:04:24s
epoch 110| loss: 119311530997.73949| val_0_rmse: 345667.51159| val_0_mse: 119486028572.2004| val_0_mae: 319701.63171| val_1_rmse: 344082.30302| val_1_mse: 118392631253.70158| val_1_mae: 317793.45319|  0:04:26s
epoch 111| loss: 118887925083.28847| val_0_rmse: 352284.83823| val_0_mse: 124104607247.04523| val_0_mae: 326462.48847| val_1_rmse: 350761.41016| val_1_mse: 123033566858.9156| val_1_mae: 324609.06077|  0:04:28s
epoch 112| loss: 118477123090.04643| val_0_rmse: 342655.09303| val_0_mse: 117412512776.24342| val_0_mae: 317559.26927| val_1_rmse: 341324.30557| val_1_mse: 116502281573.52826| val_1_mae: 315824.08452|  0:04:31s
epoch 113| loss: 118075368268.01839| val_0_rmse: 346033.2498| val_0_mse: 119739009966.5202| val_0_mae: 320236.54936| val_1_rmse: 344471.87349| val_1_mse: 118660871625.86292| val_1_mae: 318339.05639|  0:04:33s
epoch 114| loss: 117674015978.0606| val_0_rmse: 343075.50674| val_0_mse: 117700803326.3005| val_0_mae: 317397.84697| val_1_rmse: 341756.37299| val_1_mse: 116797418478.6341| val_1_mae: 315682.64007|  0:04:35s
epoch 115| loss: 117211340877.2557| val_0_rmse: 335374.85154| val_0_mse: 112476291046.70836| val_0_mae: 310523.26206| val_1_rmse: 334144.09083| val_1_mse: 111652273438.7532| val_1_mae: 308829.48248|  0:04:37s
